run_index,stage_id,stage_name,seed,result,elapsed_seconds,player_level,hp,max_hp,dug_tiles,defeated_enemies,acquired_items,acquired_object_items,money,total_materials,warp_discovered,warp_total,boss_defeated,timeout,stuck_count
1,stage_01_stardust,星くずのダンジョン,351324679,stopped,322.08,6,25,25,512,44,135,26,853,15,0,0,false,false,11
2,stage_01_stardust,星くずのダンジョン,351324679,stopped,25.73,6,25,25,512,44,135,26,853,15,0,0,false,false,0
3,stage_01_stardust,星くずのダンジョン,351324679,stopped,6.32,6,25,25,512,44,135,26,853,15,0,0,false,false,0
4,stage_01_stardust,星くずのダンジョン,351324679,stopped,6.73,6,25,25,518,44,136,26,859,15,0,4,false,false,0
5,stage_01_stardust,星くずのダンジョン,351324679,stopped,56.45,6,25,25,596,48,160,32,936,25,0,0,false,false,0
6,stage_01_stardust,星くずのダンジョン,351324679,stopped,77.80,6,25,25,596,48,160,32,936,25,0,0,false,false,0
7,stage_01_stardust,星くずのダンジョン,351324679,stopped,117.93,7,27,27,760,65,214,41,1148,48,1,4,false,false,8
8,stage_01_stardust,星くずのダンジョン,351324679,stopped,8.68,7,27,27,790,67,225,46,1177,50,1,4,false,false,1
9,stage_01_stardust,星くずのダンジョン,351324679,stopped,173.74,8,29,30,1080,91,292,57,2530,54,1,4,false,false,11
10,stage_01_stardust,星くずのダンジョン,351324679,stopped,5.98,8,29,30,1093,92,299,58,2557,59,1,4,false,false,0
11,stage_01_stardust,星くずのダンジョン,351324679,stopped,17.62,9,32,33,1129,94,306,60,2589,59,1,4,false,false,0
12,stage_01_stardust,星くずのダンジョン,351324679,stopped,22.52,9,32,33,1216,100,326,62,2697,63,1,4,false,false,0
13,stage_01_stardust,星くずのダンジョン,351324679,stopped,41.47,9,33,33,1244,101,338,69,2716,65,1,4,false,false,1
14,stage_01_stardust,星くずのダンジョン,351324679,stopped,130.61,9,33,33,1323,106,357,70,2793,72,0,0,false,false,5
15,stage_01_stardust,星くずのダンジョン,351324679,stopped,13.75,9,33,33,1323,106,357,70,2793,72,0,0,false,false,0
16,stage_01_stardust,星くずのダンジョン,351324679,timeout,600.01,9,33,33,1384,112,382,76,2887,88,0,0,false,true,1
17,stage_01_stardust,星くずのダンジョン,351324679,stopped,4.68,9,33,33,1384,112,382,76,2887,88,0,0,false,false,0
18,stage_01_stardust,星くずのダンジョン,351324679,stopped,3.40,9,33,33,1384,112,382,76,2887,88,0,0,false,false,0
19,stage_01_stardust,星くずのダンジョン,351324679,stopped,0.23,9,33,33,1392,112,383,76,2895,88,2,4,false,false,0
20,stage_01_stardust,星くずのダンジョン,351324679,stopped,287.82,10,36,36,1771,140,485,100,4958,109,0,0,false,false,13
21,stage_01_stardust,星くずのダンジョン,351324679,timeout,600.01,11,38,38,2044,171,575,118,5474,133,0,0,false,true,4
