53	64	29	49	31	14	22	12	6	1																	
		51	42	58	45	60	53	34	23	16	10	5	4	1												
					52		59	67	55	66	52	31	46	19	10	7	4									
																	102	23	100	77	38	61	46	15	29	20
																				71		61	72	23	61	52
42	64	36	61	46	22	44	24	12	5	3	2															
		40		49	41	65	54	35	37	23	14	11	9	3	2											
								43		77	98	69	134	69	66	56	31	12	11	4	3	1	1			
														91		80	101	43	91	54	43	38	25	10	12	9
																				71		61	72	23	61	52
		43	46	53	39	65	50	29	25	15	8	6	4	1												
					35			57	66	79	67	61	78	31	29	18	9	2	1	1						
											71			94	58	93	81	52	65	31	33	18	11	5	4	3
																				66		58	67	28	58	48
33	33	21	39	24	13	19	11	5	1																	
	28	31	42	42	34	51	41	19	12	7	6	3	2													
					32			48	49	65	70	50	64	42	39	52	14	4	2							
		35		37	55	39	66	48	28	33	30	10	14	12	3	5										
								48	31	72	110	50	103	85	63	119	36	15	10	6	2					
														104			141	102	134	111	55	84	61	24	36	27
																				129		107	140	37	120	110
		33		38	45	51	56	33	25	21	16	8	7	4	3											
		34	33	43	41	51	51	28	17	13	10	4	5	4												
5	7	16	10	12	19	20	20	15	11	12	12	6	7	8	3	4	7				6	15	15	5	12	9
3	3	15	5	6	19	19	19	14	11	11	11	6	7	8	2	4	6				3	8	7	3	6	5
7	10		16	18				15	11	20	27	16	28	32	20	31	38	20	41	58	9	23	23	8	17	14
12	13	12	17	15	9	13	8	4	2	1																
110	148	99	229	106	58	74	47		5														34	12	26	21
		131		167	229	222	244	327	149	57	39	17	15		2								17	6	13	10
										146	195	116	185	225	118	185	239	46	92	129	40	103	50	18	39	32
13	18	31	28	37	39	40	39	44	33	43	20	28	12	8	4	3										25
9	12	31	18	36	38	39	39	44	33	43	19	28	12	8	3	3										17
4	6	30	9	36	38	39	38	43	32	43	19	28	12	7	3	3										9
18	23		37								91		91	120	66	108	152	61	124	173	54	138	136	48	104	34
18	30	19	46	24	14	23	16	12	6	5		3		57		47	61	25	50	69	22	55	54	19	42	34
13	29	19	46	24	14	23	16	12	5	5		3		43		35	46	18	37	52	16	41	41	14	31	25
9		18		21	29	24	28	36	29	40	50	26	43	29	26	23	30	12	25	35	11	28	27	10	21	17
4		18		20	29	24	28	36	29	40	50	26	42	14	25	12	15	6	12	17	5	14	14	5	10	9
		18		20	29	24	28	35	29	39	49	26	42		25											
		9			8	12	10	9	7	8	5	5	4	2	1											
														11		11	10	6	9	11	3	7	6	2	4	2
		10		17	9	13	11	8	6	6	4	3	2	1												
4	6		9								9			12	8	12	10	5	7	8	3	5	4	1	2	2
					7		8	10	8	12	8	8	9	3	2	2	1									
3	4		6														9		9	16	5	16	17	7	16	13
		12		19	8	14	10	7	4	4	3	1	1	1												
6	8		13								11		15	13	10	12	9	5	6	7	2	3	3		1	1
					6			10	8	13	10	11	11	5	4	2	2									
2	2		3														10	4	10	16	5	15	15	6	12	10
		25	26	33	27	44	35	17	12	7	3	2	1													
								26	25	34	25	23	25	16	12	12	9	2	3	1		1				
								29	29	35	23	21	21	13	9	9	6	1	2	1						
											28	16	28	26	17	25	21	9	12	7	2	3	2	1		
																				38	12	39	37	14	31	24
								22		31	27	23	27	19	15	16	12	4	5	3						
																	28		35	36	17	37	27	12	20	14
																				28			39	9	35	37
		23		27	33	38	42	26	22	15	7	5	4	2	1		1									
											26		26	27	17	27	25	13	17	10	4	5	3	1	1	
																				38	12	39	37	14	31	24
					28		37	30	32	25	12	12	8	5	3	2	1									
											19			26	14	27	32	19	28	17	9	12	7	2	2	2
														23		23	37	18	38	28	13	23	14	5	7	5
																				35		36	38	14	34	28
34	25	25	33	29	18	28	18	8	2	1	1															
					24			32	32	34	20	18	17	10	6	6	4	1	1							
														20			35	16	40	32	16	29	18	7	11	7
	25	31	30	35	25	32	25	12	4	2	1	1														
											26		26	27	17	27	25	13	17	10	4	5	3	1	1	
										28	29	19	29	24	16	22	17	6	8	5	1	1	1			
39	26	23	31	25	14	20	13	6	1	1																
	40	29	35	36	19	37	18	10	4	3	1	1	1													
					29		31	32	28	31	18	18	12	9	4	4	2									
6								27	22	43	38	35	34	32	20	23	13	4	4	2	1		1			
11											38		37	53	27	51	38	18	25	15	6	7	4	1	1	1
		32	26	37	28	42	29	18	11	9	4	2	1	1												
9																	48	19	53	49	29	44	36	15	23	14
3																				49		41	50	16	45	42
18	12	8	13	10	5	7	3	2																		
18	12	8	13	10	5	7	3	2																		
12	13	12	17	15	9	13	8	4	2	1																
12	13	12	17	15	9	13	8	4	2	1																
17	12	9	17	11	5	11	7	2	2																	
17	12	9	17	11	5	11	7	2	1																	
17	12	9	17	11	5	11	7	2	1																	
	12	12	17	16	11	16	12	6	3	1																
18	12	8	13	10	5	7	3	2																		
		13	11	16	16	19	18	11	7	5	2	1	1													
	12	12	17	16	11	16	12	6	3	1																
	11	12	17	16	11	16	12	6	3	1																
		12		15	16	19	20	13	10	6	3	2	1													
17	11	9	17	11	5	11	7	2	1																	
	11	12	17	16	11	16	11	6	3	1																
		12		15	16	19	20	13	10	6	3	2	1													
	9	12	15	16	13	20	15	8	4	3	2															
		13	11	16	16	19	18	11	7	5	2	1	1													
		13	11	16	16	19	18	11	7	5	2	1	1													
		13	11	16	16	19	18	11	7	4	2	1	1													
		13	11	16	16	19	18	11	7	4	1	1	1													
		12		14	18	16	23	17	11	9	5	3	2	2												
					18		21	21	16	17	10	5	6	3	1	1	2									
					18		21	21	16	17	10	5	6	3	1	1	2									
	9	12	15	16	13	20	15	8	4	3	1															
		12		15	16	19	20	13	10	6	3	2	1													
					9			15	23	18	10	13	9	5	5	4	2									
					9			15	23	18	10	13	9	5	5	4	2									
								15	19	20	13	14	13	8	6	5	4	1	1							
					9			15	23	18	10	13	9	5	5	4	2									
								13	21	18	11	16	11	6	6	5	4	1	1							
								13	16	18	14	15	14	9	8	7	5	2	1							
								13	16	18	14	15	14	9	8	7	5	2	1							
								13		18	16	14	16	12	9	9	7	3	3	2						
										15	16	13	18	14	11	12	9	4	5	2	1	2				
										15	16	13	18	14	11	12	9	4	5	2	1	2				
								11		17	14	15	15	11	10	9	7	3	3	2						
											18	9	18	17	11	15	12	5	8	5	1	2	2			
										15	16	13	18	14	11	12	9	4	5	2	1	2				
										15	16	13	18	14	11	12	9	4	5	2	1	2				
								11		17	14	15	15	11	10	9	7	3	3	2						
										15	16	13	18	14	11	12	9	4	5	2	1	2				
											16		16	17	11	16	16	6	11	7	2	4	2			
											14		14	17	10	16	18	8	14	11	4	6	5	1	2	
											14		14	17	10	16	18	8	14	11	4	6	5	1	2	
											11			17	8	16	20	10	17	13	5	9	5	1	2	3
											13			19	7	18	21	9	17	15	5	9	7	1	2	3
											13			19	7	18	21	9	17	15	5	9	7	1	2	2
														12		13	16	13	17	13	9	11	7	4	3	2
														12		13	16	13	17	13	9	11	7	4	3	2
														11		12	16	13	19	15	11	14	9	6	5	2
														11		12	16	13	19	15	11	14	9	6	5	2
														11		12	16	13	18	15	11	14	9	6	5	2
														11			18	11	22	20	12	18	11	7	7	5
														11			18	11	22	20	12	18	11	7	7	5
																	18	8	22	24	12	23	16	8	13	7
																	18	8	22	24	12	23	16	8	13	7
																	18	8	22	24	12	23	16	8	13	7
																	16		20	24	12	25	20	11	16	11
																	16		20	24	12	25	20	11	16	11
																	16		20	24	11	25	20	11	16	11
																	14		17	29	10	27	25	12	20	16
																				29	7	27	29	10	25	20
																				29	7	27	29	10	25	20
																				26		23	34	8	31	29
																				26		23	34	8	31	29
																				26		23	34	8	31	29
																				26		23	34	8	31	29
																				26		23	34	8	31	29
																	14		17	29	10	27	25	12	20	16
																				22			34	7	29	34
																				29	7	27	29	10	25	20
12	13	12	16	15	9	13	8	4	1	1																
12	13	12	16	15	9	13	8	4	1	1																
								15	14	20	16	14	15	11	7	7	5	2	1	2						
					11			17	20	18	11	11	10	6	4	3	2									
										17	18	11	18	16	10	13	11	4	5	5	1	2				
		12		14	18	16	23	17	11	9	5	3	2	2												
											13			19	7	18	21	9	17	15	5	9	7	1	2	2
								13		20	18	12	18	14	8	11	9	2	3	2						
		11			18	13	21	19	14	12	6	4	4	1	1	1										
	10	13	13	18	14	17	16	10	4	3	1															
										17	18	11	18	16	10	13	11	4	5	5	1	2				
								17	17	21	14	12	13	8	5	5	4	1	1							
											18		15	22	8	19	21	6	15	13	3	5	5	1	2	
											18		16	20	10	18	18	6	11	9	2	4	2			
											19	8	19	19	10	15	14	5	8	7	1	2	2			
								15	14	20	16	14	15	11	7	7	5	2	1	2						
								15	14	20	16	14	15	11	7	7	5	2	1	2						
											18	9	18	17	11	15	12	5	8	5	1	2	2			
																				29		27	34	9	29	27
											16		14	20	9	18	20	7	14	11	3	5	5	1	2	
		11			20	12	23	21	13	14	8	4	4	3	1	1										
					13			21	17	21	14	9	11	8	4	3	4									
											16		14	20	9	18	20	7	14	11	3	5	5	1	2	
	11	13	14	16	12	15	13	8	3	1																
											18		16	20	10	18	18	6	11	9	2	4	2			
		12		14	18	16	23	17	11	9	5	3	2	1												
15	13	11	15	12	7	9	7	4																		
	10	13	13	18	14	17	16	10	4	3	1															
	11	13	14	16	12	15	13	8	3	1																
											16		16	17	11	16	16	6	11	7	2	4	2			
9	5	3	6	3	2	3	2	1																		
6	5	5	7	6	4	6	4	2	1																	
	5	6	6	7	7	7	7	4	2	1	1															
	5	6	6	7	6	7	7	4	2	1	1															
		5		6	7	8	10	5	5	3	1	1	1	1												
		6	6	7	7	8	9	4	4	2	1															
					5			7	10	9	6	5	4	3	2	2	1									
								7	9	9	7	6	6	4	3	3	2									
								5		9	8	6	8	7	5	7	3	1	1	1						
								5		9	8	6	8	7	5	6	3	1	1	1						
											9	4	8	10	5	10	6	3	3	2		1	1			
											8		7	10	5	11	7	4	4	3	1	1	1			
														6			8	6	9	8	4	6	4	2	3	2
																	8	5	8	8	4	7	5	2	4	2
																	7		8	9	3	8	7	3	5	4
																				9	3	8	9	3	8	6
																				8		7	10	3	9	9
																	6		7	9	3	8	8	3	6	5
																										
																										
																										
																										
																										
																										
32	33	21	38	24	12	18	11	5	1																	
								42	46	67	80	58	80	58	57	78	22	11	5	3						
																	115		117	126	60	107	93	43	69	47
	23	26	33	33	22	35	24	10	4	2	1	1														
30	34	24	46	29	16	27	16	7	2	1																
