"enemy_id","name","current_hp","recommended_hp","hp_ratio","current_hits","target_hits","base_damage_p50_weighted","estimated_player_level_weighted","dominant_stage_depth","dominant_stage","appearances","role_notes","tags"
"ujiuji_uji","うじうじウジ","7","30","4.29","0.71","3.2","9.84","15.5","AS6","不可思議の迷宮","AS5 AS6 AS7 AS8 AS9","small+swarm+soft","small,swarm,soft"
"ghost","ゴースト","14","55","3.93","1.47","5.8","9.5","9.3","SC1","星核洞","SC1 SC2 SC3 AS3","resist","magic"
"uji_uji","うじウジ","5","18","3.6","0.87","3.2","5.75","2.5","ST1","星くずのダンジョン","ST1 ST2 ST3 AS1","small+swarm+soft","small,swarm,soft"
"shield_beetle","盾カブト","18","60","3.33","2.76","9","6.53","3.1","ST3","星くずのダンジョン","ST2 ST3 AS1","shield+heavy+hard+resist","shield,heavy,hard,rugged"
"needle_cactus","サボン","18","60","3.33","1.96","6.8","9.18","9.3","SC1","星核洞","SC1 SC2 SC3 AS3","heavy+hard","spike,heavy,plant,hard,pointed"
"bomb_tsuchinoko","爆弾ツチノコ","14","45","3.21","1.88","6","7.43","3.6","ST3","星くずのダンジョン","ST3 AS1","heavy","fire,heavy"
"wind_owl","逆風フクロウ","17","50","2.94","1.59","4.7","10.71","10.6","SC2","星核洞","SC1 SC2 SC3 AS3","soft","wind,soft"
"punipuni_slime","ぷにぷにスライム","18","50","2.78","1.58","4.2","11.36","17.1","AS7","不可思議の迷宮","AS7 AS8 AS9","small+soft","small,soft,elastic,slime"
"slime","スライム","8","22","2.75","1.56","4.2","5.13","2.2","ST1","星くずのダンジョン","ST1 ST2 ST3 AS1","small+soft","small,soft,elastic,slime"
"mana_leech","魔力ヒル","15","40","2.67","1.63","4.2","9.18","9.3","SC1","星核洞","SC1 SC2 SC3 AS3","small+soft","magic,small,soft,elastic"
"web_spider","からまりクモ","11","28","2.55","1.49","3.8","7.36","3","ST2","星くずのダンジョン","ST2 ST3 AS1","small+soft+ranged","small,soft"
"treasure_rat","宝食いネズミ","16","40","2.5","1.62","4.2","9.88","11.8","SC2","星核洞","SC1 SC2 SC3 AS3 AS4 AS5 AS8","small+soft","money,treasure,small,soft"
"steel_shield_beetle","鋼盾カブト","42","100","2.38","3.73","9","11.26","17.7","AS9","不可思議の迷宮","AS7 AS8 AS9","shield+heavy+hard+resist","shield,metal,heavy,hard"
"water_jellyfish","水玉くらげ","15","35","2.33","1.63","3.8","9.18","9.3","SC1","星核洞","SC1 SC2 SC3 AS3","small+soft+ranged","water,small,soft,elastic"
"stone_goblin","ゴブリン","15","35","2.33","1.67","3.8","9","12.3","SC3","星核洞","SC1 SC2 SC3 AS3","small+soft+ranged","small,soft"
