"stage_id","stage","depth","estimated_player_level","damage_p50","damage_mean","damage_p75","normal_enemy_hp_for_5_hits","current_enemy_hp_weighted_avg","current_hits_vs_p50","example_enemies","top_weighted_attack_items"
"stage_01_stardust","星くずの浅坑","1","1","4","6.52","8","20","8.83","2.21","スライム / 化けキノコ / うじウジ","金貨袋:3 / 松明:5 / スコップ:6 / 古の懐中時計:2 / ツルハシ:10"
"stage_01_stardust","星くずの浅坑","2","2","5","10.97","16","25","11.83","2.37","スライム / 化けキノコ / 盾カブト / からまりクモ / うじウジ","青鉱石:3 / 赤鉱石:4 / ツルハシ:10 / かたいクッキー:1 / 古の懐中時計:2"
"stage_01_stardust","星くずの浅坑","3","4","10","13.65","23","50","11.85","1.18","スライム / 化けキノコ / 盾カブト / からまりクモ / 鉱石ガニ / 爆弾ツチノコ","ドリル:8 / 古い真鍮ベル:1 / 星くずの欠片:4 / ランタン:3 / 銀のスコップ:8"
"stage_02_junk_magic","ジャンク魔窟","1","5","5","9.8","14","25","16.21","3.24","ぷにスライム / 跳ねキノコ / 大盾カブト / 磁力コウモリ / びっくり箱 / 火吹きトカゲ","タル:5 / 金貨袋:3 / ツボ:4 / ほうき:3 / バケツ:3"
"stage_02_junk_magic","ジャンク魔窟","2","7","5","11.68","19","25","17.53","3.51","ぷにスライム / 跳ねキノコ / 大盾カブト / 磁力コウモリ / ねばりスパイダー / 宝石ガニ","タル:5 / アクアマリン:3 / 魔導炉の破片:5 / 魔導コイル:4 / ツボ:4"
"stage_02_junk_magic","ジャンク魔窟","3","9","6","13.25","22","30","20.06","3.34","ぷにスライム / 跳ねキノコ / 大盾カブト / 磁力コウモリ / ねばりスパイダー / 宝石ガニ","タル:5 / 虹のプリズム:3 / ほうき:3 / バケツ:3 / 疾風の魔導書:17"
"stage_03_star_core","星核洞","1","10","12","15.89","25","60","19.63","1.64","磁場コウモリ / ミミック / 火炎トカゲ / ナメクジ天使 / 宝食いネズミ / ゴースト","炎刃の剣:31 / アレキサンドライト:4 / 黒ガラス片:5 / 雷の魔導書:15 / 土の魔導書:13"
"stage_03_star_core","星核洞","2","13","14","17.5","28","70","23.09","1.65","磁場コウモリ / ミミック / 火炎トカゲ / ナメクジ天使 / 宝食いネズミ / ゴースト","サファイア:4 / 地の女王の首飾り:5 / ルビー:6 / 氷晶の魔導書:19 / 流星の槍:34"
"stage_03_star_core","星核洞","3","16","11","16.94","24","55","22.03","2","磁場コウモリ / ミミック / 火炎トカゲ / ナメクジ天使 / 宝食いネズミ / ゴースト","星砕きの大剣:58 / 星核の欠片:7 / ダイヤモンド:6 / 砕岩のツルハシ:14 / 地の女王の首飾り:5"
"stage_04_astral_mine","星間廃坑","1","3","4","6.8","8","20","11.96","2.99","スライム / 化けキノコ / 盾カブト / からまりクモ / 鉱石ガニ / 爆弾ツチノコ","星くずの欠片:4 / 古い真鍮ベル:1 / 金貨袋:3 / タル:5 / ツボ:4"
"stage_04_astral_mine","星間廃坑","2","5","4","8.1","10","20","18.99","4.75","ぷにスライム / 跳ねキノコ / 大盾カブト / 磁力コウモリ / ねばりスパイダー / 宝石ガニ","古の懐中時計:2 / 青鉱石:3 / 赤鉱石:4 / かたいクッキー:1 / タル:5"
"stage_04_astral_mine","星間廃坑","3","7","5","9.66","14","25","20.6","4.12","磁場コウモリ / ミミック / 火炎トカゲ / ナメクジ天使 / 宝食いネズミ / ゴースト","古い真鍮ベル:1 / 星くずの欠片:4 / 金貨袋:3 / タル:5 / ツボ:4"
"stage_04_astral_mine","星間廃坑","4","9","6","12.09","19","30","26.03","4.34","磁場コウモリ / ミミック / 火炎トカゲ / ナメクジ天使 / 宝食いネズミ / ザ・おばけ","氷の魔導書:12 / 大剣:34 / 火の魔導書:16 / 銀の剣:22 / 氷の剣:23"
"stage_04_astral_mine","星間廃坑","5","11","8","14.63","24","40","24.81","3.1","ミミック / 宝食いネズミ / ザ・おばけ / ゴブリンエース / 麻痺ゲコ / サボボン","ルビー:6 / サファイア:4 / 魔導炉の破片:5 / 魔導コイル:4 / アクアマリン:3"
"stage_04_astral_mine","星間廃坑","6","13","7","15.22","24","35","24.99","3.57","ミミック / ザ・おばけ / ゴブリンエース / 麻痺ゲコ / サボボン / 噴射くらげ","アレキサンドライト:4 / サファイア:4 / ルビー:6 / 落ちた星の外殻:6 / 虹のプリズム:3"
"stage_04_astral_mine","星間廃坑","7","15","12","17.23","25","60","31.18","2.6","ぷにぷにスライム / 鋼盾カブト / 大秘宝ガニ / パンドラの箱 / 丸焦げトカゲ / ジ・おばけ","星核の欠片:7 / 地の女王の首飾り:5 / ダイヤモンド:6 / 地脈の魔導書:21 / 雷鳴の魔導書:24"
"stage_04_astral_mine","星間廃坑","8","17","11","16.66","24","55","33.16","3.01","ぷにぷにスライム / 鋼盾カブト / 大秘宝ガニ / ミミック / パンドラの箱 / 丸焦げトカゲ","落ちた星の外殻:6 / アレキサンドライト:4 / 地の女王の首飾り:5 / 星砕きの大剣:58 / 地鳴りドリル:12"
"stage_04_astral_mine","星間廃坑","9","20","11","14.96","17","55","34.17","3.11","ぷにぷにスライム / 鋼盾カブト / 大秘宝ガニ / パンドラの箱 / 丸焦げトカゲ / ジ・おばけ","地の女王の首飾り:5 / 月灯のランタン:3 / 金のスコップ:11 / 砕岩のツルハシ:14 / 星砕きの大剣:58"
