"enemy_id","名前","基準レベル","現在HP","実質初出層","初出仮想火力","役割","役割係数","防御実効耐久倍率","目標実効耐久","新HP案","現行比","出現重み","判断メモ"
"slime","スライム","1","14","ST_E1","30","標準・入門","0.85","1","26","25","1.79","ST_E1:45 ST_E2:12 ST_E3:18","基本追跡敵"
"puni_slime","ぷにスライム","11","34","JK_E1","200","標準・小型","0.85","1","170","170","5","JK_E1:2","上位スライム"
"bake_kinoko","化けキノコ","2","16","ST_E1","30","跳躍・小型","0.8","1","24","25","1.56","ST_E1:35 ST_E2:25 ST_E3:16","跳躍で接触機会がずれる"
"hane_kinoko","跳ねキノコ","12","38","JK_E1","200","跳躍・小型","0.8","1","160","160","4.21","JK_E1:16 JK_E2:12","大跳躍で当てにくい"
"shield_beetle","盾カブト","4","28","ST_E2","70","盾タンク","1.15","1.5","81","55","1.96","ST_E2:12 ST_E3:14","正面ガード込みで約1.15周"
"big_shield_beetle","大盾カブト","15","56","JK_E1","200","盾タンク","1.2","1.65","240","150","2.68","JK_E1:8 JK_E2:8 JK_E3:12","強化正面ガード込みで約1.2周"
"magnet_bat","磁力コウモリ","13","32","JK_E1","200","飛行・妨害","0.75","1","150","150","4.69","JK_E1:14 JK_E2:12 JK_E3:6","飛行と磁力妨害"
"magnetic_field_bat","磁場コウモリ","27","56","SC_E2","520","飛行・妨害","0.78","1","406","410","7.32","SC_E2:5 SC_E3:8","広域磁力妨害"
"web_spider","からまりクモ","5","20","ST_E2","70","遠距離・妨害","0.7","1","49","50","2.5","ST_E2:12 ST_E3:12","距離維持と鈍足"
"sticky_spider","ねばりスパイダー","16","42","JK_E2","250","遠距離・妨害","0.75","1","188","190","4.52","JK_E2:5","強い鈍足"
"ore_crab","鉱石ガニ","6","34","ST_E3","100","重量・物理耐性","1.1","1.3","110","85","2.5","ST_E3:6","物理耐性込みで約1.1周"
"gem_crab","宝石ガニ","16","66","JK_E2","250","重量・物理耐性","1.15","1.45","288","200","3.03","JK_E2:8","強い物理耐性と高報酬"
"bomb_tsuchinoko","爆弾ツチノコ","8","26","ST_E3","100","自爆・待ち伏せ","0.65","1","65","65","2.5","ST_E3:8","危険行動をHPと二重評価しない"
"tsuchinoko_bomber","ツチノコボマー","19","48","JK_E3","285","自爆・待ち伏せ","0.7","1","200","200","4.17","JK_E3:7","上位自爆敵"
"surprise_box","びっくり箱","17","50","JK_E2","250","待ち伏せ・報酬","1.05","1","263","260","5.2","JK_E2:5 JK_E3:8","確定アイテム報酬を持つ強敵"
"mimic","ミミック","25","76","SC_E1","430","待ち伏せ・報酬","1.1","1","473","470","6.18","SC_E1:6 SC_E2:8 SC_E3:8","レア報酬を持つ強敵"
"thorn_slime","トゲスライム","7","24","ST_E3","100","標準・反撃型","0.85","1","85","85","3.54","ST_E2:4 ST_E3:6","接触自体が危険"
"swordgrass_slime","剣山スライム","18","46","JK_E3","285","標準・反撃型","0.9","1","257","260","5.65","JK_E3:8","上位トゲ個体"
"fire_lizard","火吹きトカゲ","14","36","JK_E1","200","遠距離","0.7","1","140","140","3.89","JK_E1:12","距離維持と火炎"
"flame_lizard","火炎トカゲ","27","58","SC_E2","520","遠距離","0.75","1","390","390","6.72","SC_E2:5 SC_E3:8","大型火炎"
"heal_slug","癒しナメクジ","14","34","JK_E1","200","支援・回復","0.7","1","140","140","4.12","JK_E1:8","優先撃破できる耐久"
"angel_slug","ナメクジ天使","25","58","SC_E2","520","支援・回復","0.75","1","390","390","6.72","SC_E2:6","上位回復役"
"gold_rat","金食いネズミ","15","28","JK_E1","200","逃走・報酬","0.6","1","120","120","4.29","JK_E1:8","追跡難度をHPと二重評価しない"
"treasure_rat","宝食いネズミ","26","44","SC_E2","520","逃走・報酬","0.65","1","338","340","7.73","SC_E2:8 SC_E3:8","上位逃走敵"
"ghost","ゴースト","21","48","SC_E1","430","位相・物理耐性","1","1.2","430","360","7.5","SC_E1:12 SC_E2:6","物理耐性と位相移動込みで1周"
"stone_goblin","ゴブリン","29","60","SC_E3","585","遠距離","0.75","1","439","440","7.33","SC_E3:12","距離維持と投石"
"poison_frog","毒ゲコ","28","52","SC_E3","585","遠距離・継続毒","0.7","1","410","410","7.88","SC_E3:4","毒の危険度をHPと二重評価しない"
"needle_cactus","サボン","23","72","SC_E1","430","固定砲台・重量","1","1","430","430","5.97","SC_E1:8","動かず当てやすいが範囲攻撃"
"water_jellyfish","水玉くらげ","23","48","SC_E1","430","飛行・遠距離","0.7","1","301","300","6.25","SC_E1:8","浮遊と多方向弾"
"wind_owl","逆風フクロウ","24","54","SC_E1","430","飛行・妨害","0.75","1","323","320","5.93","SC_E1:6 SC_E2:8","浮遊と吹き飛ばし"
"rust_slug","錆ナメクジ","18","44","JK_E3","285","標準・弱体","0.85","1","242","240","5.45","JK_E3:6","接触で金属防御低下"
"red_rust_slug","赤錆ナメクジ","22","58","SC_E1","430","標準・弱体","0.9","1","387","390","6.72","SC_E1:8","上位弱体役"
"drill_hermit","削岩ヤドカリ","17","54","JK_E2","250","重量・掘進","1","1","250","250","4.63","JK_E2:8 JK_E3:12","壁を無視して接近"
"drill_hermit_plus","ドリルヤドカリ","28","82","SC_E3","585","重量・掘進","1.05","1","614","610","7.44","SC_E3:5","上位重量敵"
"mana_leech","魔力ヒル","22","46","SC_E1","430","標準・妨害","0.8","1","344","340","7.39","SC_E1:8","接触でリング速度低下"
"uji_uji","うじウジ","3","10","ST_E1","30","群れ・極小","0.5","1","15","15","1.5","ST_E1:1 ST_E2:1","3～5体同時出現"
