source	output
K.O..mp3	0_Knockout.wav
オーラ2.mp3	0_Aura.wav
カーソル移動2.mp3	0_Cursor1.wav
カーソル移動4.mp3	0_Cursor2.wav
カーソル移動6.mp3	0_Cursor3.wav
カーソル移動7.mp3	0_Cursor4.wav
カーソル移動9.mp3	0_Cursor5.wav
ガラスが割れる1.mp3	0_Shatter1.wav
ガラスが割れる2.mp3	0_Shatter2.wav
ガラスが割れる3.mp3	0_Shatter3.wav
ガラスにひびが入る.mp3	0_Crack.wav
キックの衣擦れ1.mp3	0_KickCloth1.wav
キックの衣擦れ2.mp3	0_KickCloth2.wav
キックの素振り1.mp3	0_KickWhoosh1.wav
キックの素振り2.mp3	0_KickWhoosh2.wav
キックの素振り3.mp3	0_KickWhoosh3.wav
キャンセル5.mp3	0_Cancel1.wav
キャンセル9.mp3	0_Cancel2.wav
きらーん2.mp3	0_Shine.wav
ゲージ回復1.mp3	0_Recharge1.wav
ゲージ回復3.mp3	0_Recharge2.wav
ゴブリンの鳴き声1.mp3	0_Goblin1.wav
ゴブリンの鳴き声2.mp3	0_Goblin2.wav
ゴブリンの鳴き声3.mp3	0_Goblin3.wav
ショット.mp3	0_Shot.wav
ショット命中.mp3	0_ShotImpact.wav
ジャンプ.mp3	0_Jump.wav
ジャンプの着地.mp3	0_Landing.wav
ステータス上昇魔法1.mp3	0_Buff1.wav
ステータス上昇魔法2.mp3	0_Buff2.wav
ステータス治療1.mp3	0_Cure1.wav
ステータス治療2.mp3	0_Cure2.wav
スライムの攻撃.mp3	0_Slime.wav
スローモーション突入.mp3	0_SlowStart.wav
スローモーション終了.mp3	0_SlowEnd.wav
ドアを開ける1.mp3	0_Door1.wav
ドラゴンの羽ばたき.mp3	0_Flap.wav
ドラゴンの鳴き声1.mp3	0_Dragon1.wav
ドラゴンの鳴き声2.mp3	0_Dragon2.wav
ナイフで切る.mp3	0_KnifeSlash.wav
ナイフで突き刺す2.mp3	0_Stab1.wav
ナイフで突き刺す3.mp3	0_Stab2.wav
ナイフを投げる.mp3	0_KnifeThrow.wav
バタンと倒れる.mp3	0_FallThud.wav
パパッ.mp3	0_Pop.wav
パワーアップ.mp3	0_PowerUp.wav
パワーチャージ.mp3	0_Charge.wav
パンチの衣擦れ1.mp3	0_PunchCloth1.wav
パンチの衣擦れ2.mp3	0_PunchCloth2.wav
パンチの素振り1.mp3	0_PunchWhoosh1.wav
パンチの素振り2.mp3	0_PunchWhoosh2.wav
パンチの素振り3.mp3	0_PunchWhoosh3.wav
パンチの風切り音（スローモーション）1.mp3	0_SlowPunch1.wav
パンチの風切り音（スローモーション）2.mp3	0_SlowPunch2.wav
パンチの風切り音（スローモーション）3.mp3	0_SlowPunch3.wav
パンチの風切り音（スローモーション）4.mp3	0_SlowPunch4.wav
パンチを受け止める.mp3	0_Block.wav
パンチ素振り.mp3	0_PunchWhoosh4.wav
ビープ音4.mp3	0_Beep.wav
ビームガン.mp3	0_Beam.wav
マントを翻す.mp3	0_Cape.wav
メッセージ表示音2.mp3	0_Message.wav
メッセージ表示音3.mp3	0_Message2.wav
リンゴをかじる.mp3	0_Bite.wav
ロボットを殴る1.mp3	0_Robot1.wav
ロボットを殴る2.mp3	0_Robot2.wav
ロボットを殴る3.mp3	0_Robot3.wav
ロボットを強く殴る1.mp3	0_RobotHeavy1.wav
ロボットを強く殴る2.mp3	0_RobotHeavy2.wav
ロボットを強く殴る3.mp3	0_RobotHeavy3.wav
ワープ.mp3	0_Warp.wav
火炎魔法1.mp3	0_Fire.wav
回復魔法1.mp3	0_Heal1.wav
回復魔法2.mp3	0_Heal2.wav
回復魔法4.mp3	0_Heal3.wav
怪獣の足音.mp3	0_Stomp.wav
岩が真っ二つに割れる.mp3	0_RockSplit.wav
岩にヒビが入る.mp3	0_RockCrack.wav
弓矢が刺さる.mp3	0_ArrowImpact.wav
弓矢を放つ.mp3	0_Arrow.wav
教会の鐘1.mp3	0_Bell.wav
金属バットで打つ2.mp3	0_MetalBat.wav
携帯電話の着信音1.mp3	0_Phone1.wav
軽いキック1.mp3	0_LightKick1.wav
軽いキック2.mp3	0_LightKick2.wav
軽いパンチ1.mp3	0_LightPunch1.wav
軽いパンチ2.mp3	0_LightPunch2.wav
決定ボタンを押す2.mp3	0_Confirm1.wav
決定ボタンを押す50.mp3	0_Confirm2.wav
剣で斬る2.mp3	0_SwordSlash.wav
剣で打ち合う4.mp3	0_Clash.wav
剣の素振り1.mp3	0_Swing1.wav
剣の素振り2.mp3	0_Swing2.wav
剣の素振り3.mp3	0_Swing3.wav
剣を抜く.mp3	0_Draw.wav
建物が少し崩れる1.mp3	0_Collapse1.wav
建物が少し崩れる2.mp3	0_Collapse2.wav
拳銃の弾切れ.mp3	0_DryFire.wav
拳銃をチャッと構える.mp3	0_GunReady.wav
拳銃を撃つ (1).mp3	0_GunShot.wav
構えを取る.mp3	0_Stance.wav
高速移動.mp3	0_Dash.wav
重いキック1.mp3	0_HeavyKick.wav
重いパンチ1.mp3	0_HeavyPunch1.wav
重いパンチ2.mp3	0_HeavyPunch2.wav
重いパンチ3.mp3	0_HeavyPunch3.wav
重力魔法1.mp3	0_Gravity.wav
小キック.mp3	0_SmallKick.wav
小パンチ.mp3	0_SmallPunch.wav
水滴2.mp3	0_Drop.wav
聖魔法.mp3	0_Holy.wav
石が砕ける.mp3	0_Crumble.wav
洗濯機に服を入れる.mp3	0_Washer.wav
打撃1.mp3	0_Strike1.wav
打撃2.mp3	0_Strike2.wav
打撃3.mp3	0_Strike3.wav
打撃4.mp3	0_Strike4.wav
打撃5.mp3	0_Strike5.wav
打撃6.mp3	0_Strike6.wav
打撃7.mp3	0_Strike7.wav
打撃8.mp3	0_Strike8.wav
大キック.mp3	0_BigKick.wav
大パンチ.mp3	0_BigPunch.wav
中キック.mp3	0_MediumKick.wav
中パンチ.mp3	0_MediumPunch.wav
超必殺技発動.mp3	0_Ultimate.wav
電話が切れる1.mp3	0_Phone3.wav
電話をかける.mp3	0_Phone2.wav
倒れる.mp3	0_Fall.wav
刀で斬る2.mp3	0_KatanaSlash1.wav
刀で斬る5.mp3	0_KatanaSlash2.wav
刀の素振り1.mp3	0_KatanaSwing1.wav
刀の素振り2.mp3	0_KatanaSwing2.wav
刀を構える.mp3	0_KatanaReady.wav
刀を鞘にしまう1.mp3	0_Sheathe1.wav
刀を鞘にしまう2.mp3	0_Sheathe2.wav
毒魔法1.mp3	0_Poison1.wav
毒魔法2.mp3	0_Poison2.wav
爆発1.mp3	0_Explosion1.wav
爆発2.mp3	0_Explosion2.wav
爆発3.mp3	0_Explosion3.wav
氷魔法1.mp3	0_Ice1.wav
氷魔法2.mp3	0_Ice2.wav
斧で斬る1.mp3	0_Axe1.wav
斧で斬る2.mp3	0_Axe2.wav
武器を振り回す.mp3	0_WeaponSpin.wav
風魔法1.mp3	0_Wind.wav
平手打ち1.mp3	0_Slap.wav
鞭で攻撃1.mp3	0_Whip1.wav
鞭で攻撃2.mp3	0_Whip2.wav
鞭で攻撃5.mp3	0_Whip3.wav
鞭を振り回す1.mp3	0_WhipSwing1.wav
鞭を振り回す2.mp3	0_WhipSwing2.wav
魔法反射.mp3	0_Reflect.wav
門を開ける.mp3	0_Door2.wav
翼竜の鳴き声1.mp3	0_Wyvern1.wav
翼竜の鳴き声2.mp3	0_Wyvern2.wav
雷魔法1.mp3	0_Thunder1.wav
雷魔法2.mp3	0_Thunder2.wav
雷魔法4.mp3	0_Thunder3.wav
腕を鳴らす.mp3	0_Knuckle.wav
