"source","output","sourcecodec","sourcehz","outputcodec","outputhz","channels","sourcedurationms","outputdurationms","detectedsilencems","appliedtrimms","remainingdetectedsilencems","maxvolumedb","sourcebytes","outputbytes","sourcesha256","outputsha256","status","notes","review"
"K.O..mp3","0_Knockout.wav","mp3","48000","pcm_s16le","48000","2","2826.75","2826.75","0","0","0","-4.4","69120","542814","84125C28E3CEFF7AFBD710CCC84BF1FD7C83D20F599F383887A9C350D0DDFD15","4419BF880BCF5716A4506E302432468D55D7B3E536419162C8E044607C00FCDF","PASS","",""
"オーラ2.mp3","0_Aura.wav","mp3","44100","pcm_s16le","48000","2","4052.245","4052.25","0","0","0","-6.9","100224","778110","D5D54C127599DB047447F91FCE8CCAD935500C1EE6A9CDE80242CD0D67337469","CAA1486180B7F3BB743F5304F27337A25CD6FF33000A78DA70561C01F6E727EE","PASS","",""
"カーソル移動2.mp3","0_Cursor1.wav","mp3","48000","pcm_s16le","48000","2","936.625","936.625","0","0","0","-5.2","24192","179910","4154DF58BC8F31320E3B5CD60E084DE9764D1CB67D47094F7F7CB797E945AB07","659AF8DB47F23DACC53306FA9A251F9CCFD8E7055FC6D95A7D29698F8772149A","PASS","",""
"カーソル移動4.mp3","0_Cursor2.wav","mp3","44100","pcm_s16le","48000","2","966.168","966.188","0","0","0","-4.4","24449","185586","A540B36B2A546E4E195752B0CBB4413B51DC9E5C9C9F6771F8E80BBDD98E9024","9D79D021F770B2907CC30BA622A42E1667E6184A38B8AA8A9743D224CFB9D7D9","PASS","",""
"カーソル移動6.mp3","0_Cursor3.wav","mp3","48000","pcm_s16le","48000","2","1046.5","1046.5","0","0","0","-7.5","26496","201006","075D2C2941E864814574B489DA9DF962F238D9B44B3A294751AAAB2FADB9D7A2","AB0FF28E4E5994460AC3DE0D69B82C6DC1D3F9CD4AAFED5F02BECE2E94BCBFAE","PASS","",""
"カーソル移動7.mp3","0_Cursor4.wav","mp3","44100","pcm_s16le","48000","2","1007.347","1007.354","0","0","0","-6.2","25703","193490","E162EB70FAAFA4DE258213A091C271871AAE309EB7A6171CDF240EA0CAE55490","B9ED337454F398DC1642C777340E9256C188D00B539450602B1A706D3D2D5FAA","PASS","",""
"カーソル移動9.mp3","0_Cursor5.wav","mp3","44100","pcm_s16le","48000","2","1010.249","1010.25","0","0","0","-9.6","25703","194046","61B1E38D4B6EE144E2D20672761AA9C42ABB15E4F3A804658F2A3CB2332E13FA","26D78A2243E443F7B44B59ACFA4D44E014620AB4A6102F860B5607221FFB5487","PASS","",""
"ガラスが割れる1.mp3","0_Shatter1.wav","mp3","48000","pcm_s16le","48000","2","2410.042","2404.792","10.25","5.25","0","-7.1","59328","461798","AC815884ABB569C45D194E5417E581CC7A1DF7D4413112DAFF117525E4DFA638","026BEF9395A73521CC4FBA8DBA2CC01A2D1860DC62E64AB418336DBAAD71461A","PASS","",""
"ガラスが割れる2.mp3","0_Shatter2.wav","mp3","48000","pcm_s16le","48000","2","1253.375","1253.375","0","0","0","-6.7","31680","240726","7CE204109C42283E2ADCC9D48E8D1A9AAFA73EB9FF48826F22EFE7286367F606","A9C92AE3766FC6434DEC1EE987004DC21DAD013C1E1168BF2F52911118A8DA31","PASS","",""
"ガラスが割れる3.mp3","0_Shatter3.wav","mp3","48000","pcm_s16le","48000","2","586.583","586.583","0","0","0","-5.3","15552","112702","E8E79D563BD765865A8563B43D515CFC2A528B7832DDA22B1EB866CE24524CB4","B875F19D9A16CC7D0FDCE99C37F6945D2B72599BE988C6DA7BAD0862A5258930","PASS","",""
